facility_id,facility_name,facility_type,address,city,state,zip,esd_procedure,created_at
HSOP104438,Parkview Medical Center Brookings South Dakota,Hospital/Clinic,400 22nd Ave,Brookings,South Dakota,57006,No,
HSOP104439,Providence Cedars-Sinai Tarzana Medical Center Encino California,Hospital/Clinic,16311 Ventura Blvd,Encino,California,91436,No,
HSOP104440,Phelps Memorial Health Center Holdrege Nebraska,Hospital/Clinic,516 W 14th Ave,Holdrege,Nebraska,68949,No,
HSOP104441,Covenant Health Fort Loudoun Knoxville Tennessee,Hospital/Clinic,9330 Park West Blvd,Knoxville,Tennessee,37923,No,
HSOP104442,Corewell Health Farmington Hills Hospital Farmington Hills Michigan,Hospital/Clinic,28050 Grand River Ave,Farmington Hills,Michigan,48336,No,
HSOP104443,"Jefferson Torresdale, Bucks and Frankford Hospitals-Jefferson Health Philadelphia Pennsylvania",Hospital/Clinic,9501 Roosevelt Blvd,Philadelphia,Pennsylvania,19114,No,
HSOP104444,St. Charles Health System Bend Oregon,Hospital/Clinic,2200 Ne Neff Rd Ste 302,Bend,Oregon,97701,No,
HSOP104445,Bronson General Surgery Battle Creek Michigan,Hospital/Clinic,363 Fremont Street,Battle Creek,Michigan,49017,No,
HSOP104446,Baylor Scott & White - The Brenham Clinic Brenham Texas,Hospital/Clinic,600 North Park St,Brenham,Texas,77833,No,
HSOP104447,Marshall Medical Center South Boaz Alabama,Hospital/Clinic,2525 Hwy 431,Boaz,Alabama,35976,No,
HSOP104448,Emory University Hospital Marietta Georgia,Hospital/Clinic,780 Canton Rd Ne,Marietta,Georgia,30060,No,
HSOP104449,Covenant Health Methodist Medical Center Knoxville Tennessee,Hospital/Clinic,1311 Dowell Springs Blvd,Knoxville,Tennessee,37909,No,
HSOP104450,Staten Is Gastroenterologists Staten Island New York,Hospital/Clinic,129 Slosson Ave,Staten Island,New York,10314,No,
HSOP104451,Surgical Clinic Greeley Colorado,Hospital/Clinic,1500 16th Avenue Ct,Greeley,Colorado,80631,No,
HSOP104452,George E. Wahlen VA Medical Center Ogden Utah,Hospital/Clinic,6028 S Ridgeline Dr,Ogden,Utah,84405,No,
HSOP104453,Gastromed Health Care Somerville New Jersey,Hospital/Clinic,286 E Main St,Somerville,New Jersey,8876,No,
HSOP104454,Eden Medical Center Castro Valley California,Hospital/Clinic,19845 Lake Chabot Rd,Castro Valley,California,94546,No,
HSOP104455,Clopton Clinic Jonesboro Arkansas,Hospital/Clinic,300 Carson St,Jonesboro,Arkansas,72401,No,
HSOP104456,Providence Milwaukie Hospital Portland Oregon,Hospital/Clinic,9155 Sw Barnes Rd Ste 231,Portland,Oregon,97225,No,
HSOP104457,UnityPoint Health - St. Luke's Hospital Cedar Rapids Iowa,Hospital/Clinic,202 10th Street Se,Cedar Rapids,Iowa,52403,No,
HSOP104458,Box Butte General Hospital Alliance Nebraska,Hospital/Clinic, 2091 Box Butte Ave,Alliance,Nebraska,59301,No,
HSOP104459,Bridgeport Hospital Palo Alto California,Hospital/Clinic,795 El Camino Real,Palo Alto,California,94301,No,
HSOP104460,St. Joseph's Hospital Bridgeport West Virginia,Hospital/Clinic,527 Medical Park Dr,Bridgeport,West Virginia,26330,No,
HSOP104461,Oswego Hospital Englewood New Jersey,Hospital/Clinic,350 Engle St,Englewood,New Jersey,7631,No,
HSOP104462,Stanford Hospital Templeton California,Hospital/Clinic,1255 Las Tablas Rd Ste 201,Templeton,California,93465,No,
HSOP104463,Templeton Endoscopy Center Templeton California,Hospital/Clinic,350 Posada Ln Ste 202,Templeton,California,93465,No,
HSOP104464,Brattleboro Memorial Hospital Brattleboro Vermont,Hospital/Clinic,63 Belmont Ave,Brattleboro,Vermont,5301,No,
HSOP104465,Alafaya Woods Family Medical Center Oviedo Florida,Hospital/Clinic,110 Alafaya Woods Blvd,Oviedo,Florida,32765,No,
HSOP104466,Hartford Hospital Hartford Connecticut,Hospital/Clinic,85 Seymour Street,Hartford,Connecticut,6106,No,
HSOP104467,Advocate Aurora Health Gurnee Illinois,Hospital/Clinic,20 Tower Ct Ste C,Gurnee,Illinois,60031,No,
HSOP104468,Canonsburg Hospital Washington Pennsylvania,Hospital/Clinic,80 Landings Drive,Washington,Pennsylvania,15301,No,
HSOP104469,Carondelet Medical Group Metairie Louisiana,Hospital/Clinic,3100 Galleria Dr,Metairie,Louisiana,70001,No,
HSOP104470,Adams Memorial Hospital Decatur Indiana,Hospital/Clinic,1100 Mercer Ave,Decatur,Indiana,46733,No,
HSOP104471,Advocate Health Care Beverly Chicago Illinois,Hospital/Clinic,9831 S Western Ave,Chicago,Illinois,60643,No,
HSOP104472,Florida Digestive Health Specialists Bradenton Florida,Hospital/Clinic,1886 59th St W,Bradenton,Florida,34209,No,
HSOP104473,Cheshire Medical Center Concord New Hampshire,Hospital/Clinic,60 Commercial St Ste 404,Concord,New Hampshire,3301,No,
HSOP104474,Yakima Valley Memorial Yakima Washington,Hospital/Clinic,110 S 9th Ave,Yakima,Washington,98902,No,
